ANSWER_SEALED[WTQ_NL_0]: Eefbc73bff415
ANSWER_SEALED[WTQ_NL_1]: UNKNOWN
ANSWER_SEALED[WTQ_NL_2]: Ecac742c00920
ANSWER_SEALED[WTQ_NL_3]: UNKNOWN
ANSWER_SEALED[WTQ_NL_4]: UNKNOWN
ANSWER_SEALED[WTQ_NL_5]: UNKNOWN
ANSWER_SEALED[WTQ_NL_6]: UNKNOWN
ANSWER_SEALED[WTQ_NL_7]: E0166ee6ad5ee
ANSWER_SEALED[WTQ_NL_8]: UNKNOWN
ANSWER_SEALED[WTQ_NL_9]: UNKNOWN
ANSWER_SEALED[WTQ_NL_10]: UNKNOWN
ANSWER_SEALED[WTQ_NL_11]: E90511509e992
ANSWER_SEALED[WTQ_NL_12]: UNKNOWN
ANSWER_SEALED[WTQ_NL_13]: UNKNOWN
ANSWER_SEALED[WTQ_NL_14]: UNKNOWN
ANSWER_SEALED[WTQ_NL_15]: E46621e0c2b7c
ANSWER_SEALED[WTQ_NL_16]: UNKNOWN
ANSWER_SEALED[WTQ_NL_17]: UNKNOWN
ANSWER_SEALED[WTQ_NL_18]: UNKNOWN
ANSWER_SEALED[WTQ_NL_19]: UNKNOWN
