ANSWER_PLAIN[CF200_PLAINNL_150]: CF_TAIL_150_London
ANSWER_PLAIN[CF200_PLAINNL_151]: CF_TAIL_151_English
ANSWER_PLAIN[CF200_PLAINNL_152]: CF_TAIL_152_Poland
ANSWER_PLAIN[CF200_PLAINNL_153]: CF_TAIL_153_NashvilleTen
ANSWER_PLAIN[CF200_PLAINNL_154]: CF_TAIL_154_Metz
ANSWER_PLAIN[CF200_PLAINNL_155]: CF_TAIL_155_KV35
ANSWER_PLAIN[CF200_PLAINNL_156]: CF_TAIL_156_US
ANSWER_PLAIN[CF200_PLAINNL_157]: CF_TAIL_157_Hollywood
ANSWER_PLAIN[CF200_PLAINNL_158]: CF_TAIL_158_NgwaneV
ANSWER_PLAIN[CF200_PLAINNL_159]: CF_TAIL_159_NationalFilm
ANSWER_PLAIN[CF200_PLAINNL_160]: CF_TAIL_160_Somali
ANSWER_PLAIN[CF200_PLAINNL_161]: CF_TAIL_161_Barcelona
ANSWER_PLAIN[CF200_PLAINNL_162]: CF_TAIL_162_cancer
ANSWER_PLAIN[CF200_PLAINNL_163]: CF_TAIL_163_Budapest
ANSWER_PLAIN[CF200_PLAINNL_164]: CF_TAIL_164_Tiflis
ANSWER_PLAIN[CF200_PLAINNL_165]: CF_TAIL_165_Szprotawa
ANSWER_PLAIN[CF200_PLAINNL_166]: CF_TAIL_166_SafavidEmpir
ANSWER_PLAIN[CF200_PLAINNL_167]: CF_TAIL_167_Carcassonne
ANSWER_PLAIN[CF200_PLAINNL_168]: CF_TAIL_168_26February17
ANSWER_PLAIN[CF200_PLAINNL_169]: CF_TAIL_169_Amman
ANSWER_PLAIN[CF200_PLAINNL_170]: CF_TAIL_170_Rome
ANSWER_PLAIN[CF200_PLAINNL_171]: CF_TAIL_171_British
ANSWER_PLAIN[CF200_PLAINNL_172]: CF_TAIL_172_MaureenOSull
ANSWER_PLAIN[CF200_PLAINNL_173]: CF_TAIL_173_BentleyColle
ANSWER_PLAIN[CF200_PLAINNL_174]: CF_TAIL_174_ChrisPrez
ANSWER_PLAIN[CF200_PLAINNL_175]: CF_TAIL_175_Greek
ANSWER_PLAIN[CF200_PLAINNL_176]: CF_TAIL_176_Brno
ANSWER_PLAIN[CF200_PLAINNL_177]: CF_TAIL_177_29August1619
ANSWER_PLAIN[CF200_PLAINNL_178]: CF_TAIL_178_Stockholm
ANSWER_PLAIN[CF200_PLAINNL_179]: CF_TAIL_179_Sweden
ANSWER_PLAIN[CF200_PLAINNL_180]: CF_TAIL_180_ByzantineEmp
ANSWER_PLAIN[CF200_PLAINNL_181]: CF_TAIL_181_30June1670
ANSWER_PLAIN[CF200_PLAINNL_182]: CF_TAIL_182_London
ANSWER_PLAIN[CF200_PLAINNL_183]: CF_TAIL_183_7August1621
ANSWER_PLAIN[CF200_PLAINNL_184]: CF_TAIL_184_Washington
ANSWER_PLAIN[CF200_PLAINNL_185]: CF_TAIL_185_1146
ANSWER_PLAIN[CF200_PLAINNL_186]: CF_TAIL_186_Soroca
ANSWER_PLAIN[CF200_PLAINNL_187]: CF_TAIL_187_Lezh
ANSWER_PLAIN[CF200_PLAINNL_188]: CF_TAIL_188_Afghanistan
ANSWER_PLAIN[CF200_PLAINNL_189]: CF_TAIL_189_NewYork
ANSWER_PLAIN[CF200_PLAINNL_190]: CF_TAIL_190_Cahiersducin
ANSWER_PLAIN[CF200_PLAINNL_191]: CF_TAIL_191_29August1700
ANSWER_PLAIN[CF200_PLAINNL_192]: CF_TAIL_192_TugMcGraw
ANSWER_PLAIN[CF200_PLAINNL_193]: CF_TAIL_193_TrinityColle
ANSWER_PLAIN[CF200_PLAINNL_194]: CF_TAIL_194_September101
ANSWER_PLAIN[CF200_PLAINNL_195]: CF_TAIL_195_6August1272
ANSWER_PLAIN[CF200_PLAINNL_196]: CF_TAIL_196_SanAntonio
ANSWER_PLAIN[CF200_PLAINNL_197]: CF_TAIL_197_LawrenceScho
ANSWER_PLAIN[CF200_PLAINNL_198]: CF_TAIL_198_Newark
ANSWER_PLAIN[CF200_PLAINNL_199]: CF_TAIL_199_9June68
