ANSWER_PLAIN[CF32_PLAINNL_0]: CF_TAIL_0_Illinois
ANSWER_PLAIN[CF32_PLAINNL_1]: CF_TAIL_1_Mediterranea
ANSWER_PLAIN[CF32_PLAINNL_2]: CF_TAIL_2_18July1793
ANSWER_PLAIN[CF32_PLAINNL_3]: CF_TAIL_3_American
ANSWER_PLAIN[CF32_PLAINNL_4]: CF_TAIL_4_Irish
ANSWER_PLAIN[CF32_PLAINNL_5]: CF_TAIL_5_Hagonoy
ANSWER_PLAIN[CF32_PLAINNL_6]: CF_TAIL_6_CanadianFilm
ANSWER_PLAIN[CF32_PLAINNL_7]: CF_TAIL_7_30March1774
ANSWER_PLAIN[CF32_PLAINNL_8]: CF_TAIL_8_Paris
ANSWER_PLAIN[CF32_PLAINNL_9]: CF_TAIL_9_25March1957
ANSWER_PLAIN[CF32_PLAINNL_10]: CF_TAIL_10_PreLachaiseC
ANSWER_PLAIN[CF32_PLAINNL_11]: CF_TAIL_11_Hollywood
ANSWER_PLAIN[CF32_PLAINNL_12]: CF_TAIL_12_Panam
ANSWER_PLAIN[CF32_PLAINNL_13]: CF_TAIL_13_Liberian
ANSWER_PLAIN[CF32_PLAINNL_14]: CF_TAIL_14_Montreal
ANSWER_PLAIN[CF32_PLAINNL_15]: CF_TAIL_15_SanremoMusic
ANSWER_PLAIN[CF32_PLAINNL_16]: CF_TAIL_16_Toronto
ANSWER_PLAIN[CF32_PLAINNL_17]: CF_TAIL_17_California
ANSWER_PLAIN[CF32_PLAINNL_18]: CF_TAIL_18_Gowran
ANSWER_PLAIN[CF32_PLAINNL_19]: CF_TAIL_19_Prenzlau
ANSWER_PLAIN[CF32_PLAINNL_20]: CF_TAIL_20_18October169
ANSWER_PLAIN[CF32_PLAINNL_21]: CF_TAIL_21_Peninsula
ANSWER_PLAIN[CF32_PLAINNL_22]: CF_TAIL_22_NewYork
ANSWER_PLAIN[CF32_PLAINNL_23]: CF_TAIL_23_NewportWales
ANSWER_PLAIN[CF32_PLAINNL_24]: CF_TAIL_24_1027
ANSWER_PLAIN[CF32_PLAINNL_25]: CF_TAIL_25_Madrid
ANSWER_PLAIN[CF32_PLAINNL_26]: CF_TAIL_26_Virginia
ANSWER_PLAIN[CF32_PLAINNL_27]: CF_TAIL_27_Constantinop
ANSWER_PLAIN[CF32_PLAINNL_28]: CF_TAIL_28_SanDiegoStat
ANSWER_PLAIN[CF32_PLAINNL_29]: CF_TAIL_29_Norway
ANSWER_PLAIN[CF32_PLAINNL_30]: CF_TAIL_30_37
ANSWER_PLAIN[CF32_PLAINNL_31]: CF_TAIL_31_PalmSpringsC
