PDF-TRANSFER of wiki_ceo_hr.xlsx (sheet text dump for OIR)

== Sheet: Employees ==
Employee	Company	Role
David Schaeffer	Cogent Communications	CEO
Landon H Rowland	Kansas City Southern	CEO
Giancarlo Nicosanti Monterastelli	Unieuro	CEO
Kentaro Okuda	Nomura Holdings	CEO
Hans Vestberg	Verizon	CEO
Lucian Grainge	Universal Music Group	CEO
Tom Salomon	esk spoitelna	CEO
Luka Mucic	Vonovia	CEO
JeanFranois van Boxmeer	Heineken International	CEO
David Simon	Simon Property Group	CEO
Richard Gordon Handover	WHSmith	CEO
Mike Sievert	TMobile US	CEO
Sergio Ermotti	UBS	CEO
Jakub Duslek	UniCredit Bank Czech Republic and Slovakia	CEO
David J Wright	Globcal International	CEO
Jakub Strnad	Allianz pojiovna	CEO

== Sheet: Companies ==
Company	HQ_City	Country
Cogent Communications	Washington DC	US/EU
Kansas City Southern	Kansas City	US/EU
Unieuro	Forl	US/EU
Nomura Holdings	Tokyo	US/EU
Verizon	Philadelphia	US/EU
Universal Music Group	Broadway	US/EU
esk spoitelna	Prague	US/EU
Vonovia	Bochum	US/EU
Heineken International	Amsterdam	US/EU
Simon Property Group	Simon Property Group Headquarters	US/EU
WHSmith	Swindon	US/EU
TMobile US	Bellevue	US/EU
UBS	Zurich	US/EU
UniCredit Bank Czech Republic and Slovakia	Prague	US/EU
Globcal International	Richmond	US/EU
Allianz pojiovna	Prague	US/EU
Telecom Armenia	Yerevan	US/EU
Canadian Broadcasting Corporation	Ottawa	US/EU
Canadian Pacific Kansas City	Calgary	US/EU
WaveDivision Holdings LLC	New Jersey	US/EU
Zurich Insurance Group	Zurich	US/EU
Warner Bros Discovery	New York City	US/EU
